x,y_uu,y_dd
1.10E-02,9.64E-01,9.62E-01
1.11E-02,9.63E-01,9.61E-01
1.13E-02,9.61E-01,9.60E-01
1.14E-02,9.60E-01,9.58E-01
1.15E-02,9.59E-01,9.57E-01
1.17E-02,9.57E-01,9.55E-01
1.18E-02,9.56E-01,9.54E-01
1.19E-02,9.54E-01,9.52E-01
1.21E-02,9.52E-01,9.50E-01
1.22E-02,9.50E-01,9.48E-01
1.24E-02,9.48E-01,9.46E-01
1.25E-02,9.46E-01,9.44E-01
1.27E-02,9.44E-01,9.41E-01
1.29E-02,9.41E-01,9.38E-01
1.30E-02,9.38E-01,9.35E-01
1.32E-02,9.35E-01,9.32E-01
1.34E-02,9.31E-01,9.29E-01
1.36E-02,9.28E-01,9.25E-01
1.38E-02,9.23E-01,9.20E-01
1.40E-02,9.19E-01,9.16E-01
1.42E-02,9.14E-01,9.11E-01
1.44E-02,9.09E-01,9.06E-01
1.46E-02,9.03E-01,9.00E-01
1.48E-02,8.97E-01,8.94E-01
1.50E-02,8.91E-01,8.88E-01
1.53E-02,8.85E-01,8.83E-01
1.55E-02,8.80E-01,8.78E-01
1.58E-02,8.77E-01,8.76E-01
1.60E-02,8.61E-01,8.61E-01
1.63E-02,7.87E-01,7.90E-01
1.63E-02,7.87E-01,7.90E-01
1.65E-02,6.54E-01,6.60E-01
1.65E-02,6.54E-01,6.60E-01
1.68E-02,4.77E-01,4.85E-01
1.68E-02,4.77E-01,4.85E-01
1.71E-02,2.99E-01,3.09E-01
1.71E-02,2.99E-01,3.09E-01
1.74E-02,1.62E-01,1.72E-01
1.77E-02,9.85E-02,1.07E-01
1.81E-02,7.52E-02,8.20E-02
1.84E-02,6.47E-02,7.04E-02
1.88E-02,5.94E-02,6.41E-02
1.91E-02,5.66E-02,6.06E-02
1.95E-02,5.51E-02,5.85E-02
1.99E-02,5.42E-02,5.71E-02
2.03E-02,5.34E-02,5.59E-02
2.07E-02,5.27E-02,5.48E-02
2.12E-02,5.18E-02,5.35E-02
2.16E-02,5.06E-02,5.21E-02
2.21E-02,4.91E-02,5.03E-02
2.26E-02,4.73E-02,4.83E-02
2.32E-02,4.51E-02,4.60E-02
2.37E-02,4.27E-02,4.34E-02
2.43E-02,3.99E-02,4.05E-02
2.49E-02,3.68E-02,3.73E-02
2.56E-02,3.36E-02,3.40E-02
2.63E-02,3.01E-02,3.05E-02
2.70E-02,2.66E-02,2.69E-02
2.77E-02,2.30E-02,2.33E-02
2.85E-02,1.95E-02,1.97E-02
2.94E-02,1.60E-02,1.62E-02
3.03E-02,1.28E-02,1.30E-02
3.13E-02,9.79E-03,1.00E-02
3.23E-02,7.19E-03,7.40E-03
3.23E-02,7.17E-03,7.37E-03
3.28E-02,6.02E-03,6.23E-03
3.34E-02,4.96E-03,5.16E-03
3.34E-02,4.95E-03,5.16E-03
3.40E-02,4.01E-03,4.22E-03
3.46E-02,3.19E-03,3.40E-03
3.52E-02,2.48E-03,2.69E-03
3.58E-02,1.90E-03,2.11E-03
3.65E-02,1.44E-03,1.65E-03
3.72E-02,1.09E-03,1.30E-03
3.79E-02,8.47E-04,1.06E-03
3.87E-02,7.03E-04,9.08E-04
3.94E-02,6.43E-04,8.43E-04
4.03E-02,6.54E-04,8.48E-04
4.11E-02,7.20E-04,9.06E-04
4.20E-02,8.22E-04,1.00E-03
4.29E-02,9.43E-04,1.11E-03
4.39E-02,1.06E-03,1.22E-03
4.49E-02,1.17E-03,1.32E-03
4.59E-02,1.24E-03,1.38E-03
4.70E-02,1.27E-03,1.39E-03
4.82E-02,1.25E-03,1.36E-03
4.94E-02,1.18E-03,1.28E-03
5.07E-02,1.06E-03,1.14E-03
5.21E-02,8.94E-04,9.67E-04
5.35E-02,7.07E-04,7.70E-04
5.50E-02,5.15E-04,5.68E-04
5.66E-02,3.38E-04,3.83E-04
5.83E-02,1.96E-04,2.33E-04
6.01E-02,1.03E-04,1.33E-04
6.20E-02,6.28E-05,8.71E-05
6.40E-02,6.94E-05,8.85E-05
6.48E-02,8.12E-05,9.84E-05
6.59E-02,1.01E-04,1.16E-04
6.62E-02,1.05E-04,1.20E-04
6.71E-02,1.22E-04,1.35E-04
6.82E-02,1.42E-04,1.53E-04
6.94E-02,1.58E-04,1.67E-04
7.07E-02,1.67E-04,1.74E-04
7.20E-02,1.67E-04,1.73E-04
7.33E-02,1.58E-04,1.63E-04
7.47E-02,1.40E-04,1.44E-04
7.62E-02,1.15E-04,1.19E-04
7.77E-02,8.71E-05,9.01E-05
7.92E-02,5.86E-05,6.11E-05
8.09E-02,3.37E-05,3.58E-05
8.26E-02,1.58E-05,1.76E-05
8.44E-02,7.03E-06,8.71E-06
8.62E-02,7.91E-06,9.44E-06
8.82E-02,1.69E-05,1.82E-05
9.02E-02,3.05E-05,3.17E-05
9.23E-02,4.43E-05,4.52E-05
9.45E-02,5.37E-05,5.43E-05
9.69E-02,5.54E-05,5.58E-05
9.93E-02,4.87E-05,4.88E-05
1.02E-01,3.57E-05,3.56E-05
1.05E-01,2.09E-05,2.07E-05
1.07E-01,9.24E-06,9.08E-06
1.10E-01,3.97E-06,3.89E-06
1.14E-01,5.01E-06,5.11E-06
1.17E-01,9.11E-06,9.41E-06
1.21E-01,1.20E-05,1.25E-05
1.25E-01,1.14E-05,1.21E-05
1.29E-01,8.75E-06,9.48E-06
1.33E-01,7.17E-06,7.84E-06
1.38E-01,7.90E-06,8.39E-06
1.43E-01,8.67E-06,8.92E-06
