# Datafile created by QuickNXS 0.9.39
# Date: 2014-04-14 10:25:30
# Type: Specular
# Input file indices: 16244+16245+16246+16247
# Extracted states: +
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth           number  File                                            
# 1      0   0   157.7   6        132.5   59       84.8    125       158   2.86102e-06   16213   /SNS/REF_M/IPTS-10790/data/REF_M_16213_histo.nxs
# 2      0   0   157.6   6        132.5   59       84.8    125       158   2.86102e-06   16214   /SNS/REF_M/IPTS-10790/data/REF_M_16214_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos   y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 3.89045   86    32   159.2   6        133.5   65       84.8    125       False        158   0.694759   16244   1      /SNS/REF_M/IPTS-10790/data/REF_M_16244_histo.nxs
# 3.89045   115   4    159.3   6        133.5   65       84.8    125       False        158   0.694759   16245   2      /SNS/REF_M/IPTS-10790/data/REF_M_16245_histo.nxs
# 2.72898   115   4    160.7   7        133.5   65       84.8    125       False        158   1.37224    16246   2      /SNS/REF_M/IPTS-10790/data/REF_M_16246_histo.nxs
# 2.36048   114   2    161.5   8        133.5   65       84.8    125       False        158   2.72533    16247   2      /SNS/REF_M/IPTS-10790/data/REF_M_16247_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  18   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
2.452301e-02      	4.046380e-02      	4.900677e-04      	5.228219e-04      	5.884519e-03      
2.514384e-02      	3.747843e-02      	4.603249e-04      	5.375916e-04      	5.884519e-03      
2.579693e-02      	3.445545e-02      	4.519423e-04      	5.532483e-04      	5.884519e-03      
2.648485e-02      	3.056937e-02      	4.293705e-04      	5.698744e-04      	5.884519e-03      
2.721046e-02      	2.709508e-02      	3.988815e-04      	5.875654e-04      	5.884519e-03      
2.797695e-02      	2.332401e-02      	3.665482e-04      	6.064266e-04      	5.884519e-03      
2.878788e-02      	1.955432e-02      	3.556209e-04      	6.265816e-04      	5.884519e-03      
2.964722e-02      	1.558847e-02      	3.300692e-04      	6.481683e-04      	5.884519e-03      
3.055944e-02      	1.218199e-02      	3.067534e-04      	6.713465e-04      	5.884519e-03      
3.152958e-02      	9.050852e-03      	2.798452e-04      	6.963016e-04      	5.884519e-03      
3.237301e-02      	7.222062e-03      	8.329987e-05      	6.772772e-04      	1.160454e-02      
3.256334e-02      	6.715298e-03      	2.594075e-04      	7.232462e-04      	5.884519e-03      
3.291709e-02      	6.004555e-03      	7.451339e-05      	6.892670e-04      	1.160454e-02      
3.347978e-02      	4.581810e-03      	6.345711e-05      	7.016979e-04      	1.160454e-02      
3.366718e-02      	4.824898e-03      	2.598263e-04      	7.524296e-04      	5.884519e-03      
3.406204e-02      	3.759077e-03      	5.628548e-05      	7.145952e-04      	1.160454e-02      
3.466490e-02      	3.022064e-03      	5.005413e-05      	7.279862e-04      	1.160454e-02      
3.528949e-02      	2.269847e-03      	4.363893e-05      	7.418998e-04      	1.160454e-02      
3.593701e-02      	1.749418e-03      	4.030690e-05      	7.563691e-04      	1.160454e-02      
3.660873e-02      	1.286118e-03      	3.392488e-05      	7.714266e-04      	1.160454e-02      
3.730604e-02      	9.585790e-04      	2.833667e-05      	7.871110e-04      	1.160454e-02      
3.803043e-02      	7.357381e-04      	2.399787e-05      	8.034626e-04      	1.160454e-02      
3.878351e-02      	6.453591e-04      	2.208520e-05      	8.205253e-04      	1.160454e-02      
3.956701e-02      	5.630142e-04      	2.042913e-05      	8.383478e-04      	1.160454e-02      
4.038282e-02      	6.459201e-04      	2.180321e-05      	8.569823e-04      	1.160454e-02      
4.123299e-02      	6.799691e-04      	2.207839e-05      	8.764873e-04      	1.160454e-02      
4.211972e-02      	7.896849e-04      	2.369857e-05      	8.969257e-04      	1.160454e-02      
4.304543e-02      	8.977367e-04      	2.494891e-05      	9.183680e-04      	1.160454e-02      
4.401274e-02      	1.015158e-03      	2.609187e-05      	9.408902e-04      	1.160454e-02      
4.502453e-02      	1.112412e-03      	2.689107e-05      	9.645789e-04      	1.160454e-02      
4.608393e-02      	1.182539e-03      	2.748393e-05      	9.895279e-04      	1.160454e-02      
4.719438e-02      	1.230665e-03      	2.843294e-05      	1.015842e-03      	1.160454e-02      
4.835968e-02      	1.197901e-03      	2.829875e-05      	1.043638e-03      	1.160454e-02      
4.958398e-02      	1.105274e-03      	2.655713e-05      	1.073047e-03      	1.160454e-02      
5.087187e-02      	8.772849e-04      	2.424838e-05      	1.104217e-03      	1.160454e-02      
5.222845e-02      	8.058445e-04      	2.347313e-05      	1.137312e-03      	1.160454e-02      
5.365938e-02      	6.114519e-04      	2.020031e-05      	1.172521e-03      	1.160454e-02      
5.517090e-02      	4.156347e-04      	1.651643e-05      	1.210052e-03      	1.160454e-02      
5.677006e-02      	3.002458e-04      	1.488998e-05      	1.250149e-03      	1.160454e-02      
5.846469e-02      	1.683495e-04      	1.166151e-05      	1.293086e-03      	1.160454e-02      
6.026360e-02      	7.903998e-05      	8.447245e-06      	1.339179e-03      	1.160454e-02      
6.217673e-02      	5.496607e-05      	7.619961e-06      	1.388794e-03      	1.160454e-02      
6.394590e-02      	6.979648e-05      	4.972780e-06      	1.331200e-03      	2.330272e-02      
6.421531e-02      	6.586748e-05      	8.832230e-06      	1.442352e-03      	1.160454e-02      
6.500285e-02      	1.002858e-04      	5.462016e-06      	1.354348e-03      	2.330272e-02      
6.609533e-02      	1.274221e-04      	6.049424e-06      	1.378334e-03      	2.330272e-02      
6.639210e-02      	1.533532e-04      	1.577055e-05      	1.500346e-03      	1.160454e-02      
6.722517e-02      	1.500839e-04      	6.404860e-06      	1.403203e-03      	2.330272e-02      
6.839430e-02      	1.690966e-04      	6.666749e-06      	1.429006e-03      	2.330272e-02      
6.960481e-02      	2.001914e-04      	7.203061e-06      	1.455796e-03      	2.330272e-02      
7.085895e-02      	2.040293e-04      	7.325147e-06      	1.483633e-03      	2.330272e-02      
7.215912e-02      	1.946275e-04      	7.534198e-06      	1.512582e-03      	2.330272e-02      
7.350789e-02      	1.973659e-04      	7.458244e-06      	1.542709e-03      	2.330272e-02      
7.490804e-02      	1.823471e-04      	6.933584e-06      	1.574091e-03      	2.330272e-02      
7.636257e-02      	1.459023e-04      	6.012008e-06      	1.606809e-03      	2.330272e-02      
