x,y_uu,y_dd
1.11E-02,9.64E-01,9.60E-01
1.12E-02,9.62E-01,9.59E-01
1.14E-02,9.61E-01,9.58E-01
1.15E-02,9.60E-01,9.56E-01
1.16E-02,9.59E-01,9.55E-01
1.18E-02,9.57E-01,9.53E-01
1.19E-02,9.55E-01,9.51E-01
1.21E-02,9.54E-01,9.50E-01
1.22E-02,9.52E-01,9.47E-01
1.24E-02,9.50E-01,9.45E-01
1.25E-02,9.48E-01,9.43E-01
1.27E-02,9.45E-01,9.40E-01
1.28E-02,9.43E-01,9.38E-01
1.30E-02,9.40E-01,9.35E-01
1.32E-02,9.37E-01,9.31E-01
1.34E-02,9.34E-01,9.28E-01
1.35E-02,9.30E-01,9.24E-01
1.37E-02,9.26E-01,9.20E-01
1.39E-02,9.22E-01,9.15E-01
1.41E-02,9.17E-01,9.11E-01
1.43E-02,9.12E-01,9.05E-01
1.45E-02,9.07E-01,9.00E-01
1.47E-02,9.01E-01,8.95E-01
1.50E-02,8.95E-01,8.89E-01
1.52E-02,8.89E-01,8.84E-01
1.54E-02,8.84E-01,8.81E-01
1.57E-02,8.81E-01,8.79E-01
1.59E-02,8.66E-01,8.66E-01
1.62E-02,8.01E-01,8.07E-01
1.64E-02,7.15E-01,7.25E-01
1.65E-02,6.82E-01,6.93E-01
1.67E-02,5.70E-01,5.85E-01
1.67E-02,5.18E-01,5.34E-01
1.70E-02,3.87E-01,4.06E-01
1.70E-02,3.40E-01,3.60E-01
1.73E-02,2.18E-01,2.38E-01
1.73E-02,1.91E-01,2.12E-01
1.76E-02,1.19E-01,1.38E-01
1.79E-02,8.31E-02,9.88E-02
1.82E-02,6.88E-02,8.20E-02
1.86E-02,6.18E-02,7.29E-02
1.89E-02,5.81E-02,6.75E-02
1.93E-02,5.61E-02,6.42E-02
1.97E-02,5.50E-02,6.19E-02
2.01E-02,5.42E-02,6.01E-02
2.05E-02,5.35E-02,5.86E-02
2.09E-02,5.27E-02,5.70E-02
2.14E-02,5.17E-02,5.54E-02
2.18E-02,5.04E-02,5.35E-02
2.23E-02,4.88E-02,5.15E-02
2.28E-02,4.69E-02,4.91E-02
2.34E-02,4.46E-02,4.65E-02
2.39E-02,4.20E-02,4.36E-02
2.45E-02,3.92E-02,4.05E-02
2.51E-02,3.61E-02,3.72E-02
2.58E-02,3.28E-02,3.37E-02
2.65E-02,2.93E-02,3.01E-02
2.72E-02,2.57E-02,2.65E-02
2.80E-02,2.21E-02,2.28E-02
2.88E-02,1.86E-02,1.92E-02
2.96E-02,1.52E-02,1.58E-02
3.06E-02,1.20E-02,1.25E-02
3.15E-02,9.11E-03,9.61E-03
3.24E-02,6.99E-03,7.49E-03
3.26E-02,6.57E-03,7.06E-03
3.29E-02,5.82E-03,6.32E-03
3.35E-02,4.77E-03,5.26E-03
3.37E-02,4.45E-03,4.94E-03
3.41E-02,3.83E-03,4.32E-03
3.47E-02,3.01E-03,3.50E-03
3.53E-02,2.32E-03,2.80E-03
3.59E-02,1.75E-03,2.23E-03
3.66E-02,1.30E-03,1.77E-03
3.73E-02,9.62E-04,1.43E-03
3.80E-02,7.36E-04,1.19E-03
3.88E-02,6.07E-04,1.05E-03
3.96E-02,5.64E-04,9.94E-04
4.04E-02,5.91E-04,1.00E-03
4.12E-02,6.72E-04,1.07E-03
4.21E-02,7.89E-04,1.16E-03
4.30E-02,9.23E-04,1.27E-03
4.40E-02,1.06E-03,1.38E-03
4.50E-02,1.17E-03,1.47E-03
4.61E-02,1.25E-03,1.52E-03
4.72E-02,1.28E-03,1.53E-03
4.84E-02,1.26E-03,1.48E-03
4.96E-02,1.18E-03,1.37E-03
5.09E-02,1.05E-03,1.22E-03
5.22E-02,8.80E-04,1.03E-03
5.37E-02,6.85E-04,8.10E-04
5.52E-02,4.86E-04,5.93E-04
5.68E-02,3.06E-04,3.97E-04
5.85E-02,1.65E-04,2.42E-04
6.03E-02,7.90E-05,1.43E-04
6.22E-02,5.12E-05,1.05E-04
6.39E-02,6.88E-05,1.14E-04
6.42E-02,7.39E-05,1.18E-04
6.50E-02,9.13E-05,1.32E-04
6.61E-02,1.19E-04,1.56E-04
6.64E-02,1.27E-04,1.63E-04
6.72E-02,1.48E-04,1.81E-04
6.84E-02,1.74E-04,2.04E-04
6.96E-02,1.95E-04,2.21E-04
7.09E-02,2.06E-04,2.29E-04
7.22E-02,2.06E-04,2.26E-04
7.35E-02,1.95E-04,2.12E-04
7.49E-02,1.73E-04,1.88E-04
7.64E-02,1.42E-04,1.55E-04
7.79E-02,1.07E-04,1.18E-04
7.94E-02,7.14E-05,8.04E-05
8.11E-02,4.03E-05,4.81E-05
8.28E-02,1.83E-05,2.50E-05
8.46E-02,8.02E-06,1.38E-05
8.64E-02,1.03E-05,1.52E-05
8.84E-02,2.31E-05,2.72E-05
9.04E-02,4.19E-05,4.52E-05
9.25E-02,6.08E-05,6.33E-05
9.48E-02,7.34E-05,7.51E-05
9.71E-02,7.54E-05,7.64E-05
9.96E-02,6.56E-05,6.59E-05
1.02E-01,4.70E-05,4.69E-05
1.05E-01,2.58E-05,2.55E-05
1.08E-01,9.39E-06,9.12E-06
1.11E-01,2.41E-06,2.35E-06
1.14E-01,4.71E-06,5.01E-06
1.17E-01,1.11E-05,1.19E-05
1.21E-01,1.49E-05,1.62E-05
1.25E-01,1.29E-05,1.46E-05
1.29E-01,7.93E-06,9.98E-06
1.33E-01,6.14E-06,8.31E-06
1.38E-01,9.61E-06,1.16E-05
1.43E-01,1.30E-05,1.45E-05
