x,y_uu,y_dd
1.11E-02,9.76E-01,9.30E-01
1.12E-02,9.75E-01,9.28E-01
1.13E-02,9.74E-01,9.26E-01
1.14E-02,9.73E-01,9.23E-01
1.16E-02,9.73E-01,9.21E-01
1.17E-02,9.72E-01,9.18E-01
1.18E-02,9.71E-01,9.15E-01
1.20E-02,9.70E-01,9.12E-01
1.21E-02,9.69E-01,9.09E-01
1.23E-02,9.67E-01,9.05E-01
1.24E-02,9.66E-01,9.02E-01
1.26E-02,9.65E-01,8.98E-01
1.28E-02,9.63E-01,8.94E-01
1.29E-02,9.61E-01,8.90E-01
1.31E-02,9.60E-01,8.86E-01
1.33E-02,9.58E-01,8.82E-01
1.35E-02,9.55E-01,8.78E-01
1.36E-02,9.53E-01,8.74E-01
1.38E-02,9.50E-01,8.71E-01
1.40E-02,9.47E-01,8.67E-01
1.42E-02,9.43E-01,8.65E-01
1.44E-02,9.39E-01,8.63E-01
1.47E-02,9.34E-01,8.62E-01
1.49E-02,9.29E-01,8.63E-01
1.51E-02,9.22E-01,8.65E-01
1.53E-02,9.14E-01,8.70E-01
1.56E-02,9.06E-01,8.77E-01
1.58E-02,8.97E-01,8.85E-01
1.58E-02,8.96E-01,8.87E-01
1.60E-02,8.66E-01,8.83E-01
1.61E-02,8.64E-01,8.85E-01
1.63E-02,7.61E-01,8.32E-01
1.66E-02,5.88E-01,7.25E-01
1.69E-02,3.79E-01,5.76E-01
1.72E-02,1.89E-01,4.18E-01
1.75E-02,6.18E-02,2.89E-01
1.78E-02,2.13E-02,2.18E-01
1.81E-02,1.77E-02,1.81E-01
1.84E-02,2.09E-02,1.57E-01
1.88E-02,2.61E-02,1.40E-01
1.92E-02,3.15E-02,1.28E-01
1.95E-02,3.65E-02,1.17E-01
1.99E-02,4.09E-02,1.09E-01
2.03E-02,4.45E-02,1.02E-01
2.08E-02,4.73E-02,9.51E-02
2.12E-02,4.93E-02,8.91E-02
2.17E-02,5.05E-02,8.35E-02
2.22E-02,5.10E-02,7.80E-02
2.27E-02,5.07E-02,7.28E-02
2.32E-02,4.98E-02,6.76E-02
2.38E-02,4.82E-02,6.24E-02
2.44E-02,4.61E-02,5.73E-02
2.50E-02,4.34E-02,5.23E-02
2.56E-02,4.04E-02,4.73E-02
2.63E-02,3.69E-02,4.23E-02
2.70E-02,3.32E-02,3.75E-02
2.78E-02,2.92E-02,3.28E-02
2.86E-02,2.52E-02,2.84E-02
2.95E-02,2.12E-02,2.42E-02
3.04E-02,1.73E-02,2.03E-02
3.13E-02,1.36E-02,1.68E-02
3.16E-02,1.25E-02,1.59E-02
3.22E-02,1.08E-02,1.43E-02
3.24E-02,1.03E-02,1.38E-02
3.27E-02,9.26E-03,1.29E-02
3.33E-02,7.79E-03,1.16E-02
3.38E-02,6.45E-03,1.05E-02
3.44E-02,5.24E-03,9.44E-03
3.51E-02,4.16E-03,8.53E-03
3.57E-02,3.23E-03,7.75E-03
3.64E-02,2.45E-03,7.09E-03
3.71E-02,1.81E-03,6.55E-03
3.78E-02,1.30E-03,6.11E-03
3.85E-02,9.28E-04,5.75E-03
3.93E-02,6.74E-04,5.48E-03
4.01E-02,5.27E-04,5.28E-03
4.10E-02,4.71E-04,5.12E-03
4.19E-02,4.87E-04,4.99E-03
4.28E-02,5.55E-04,4.87E-03
4.37E-02,6.55E-04,4.75E-03
4.47E-02,7.65E-04,4.60E-03
4.58E-02,8.66E-04,4.42E-03
4.69E-02,9.42E-04,4.19E-03
4.81E-02,9.79E-04,3.91E-03
4.93E-02,9.69E-04,3.58E-03
5.05E-02,9.12E-04,3.20E-03
5.19E-02,8.11E-04,2.78E-03
5.33E-02,6.77E-04,2.35E-03
5.48E-02,5.27E-04,1.92E-03
5.64E-02,3.81E-04,1.52E-03
5.81E-02,2.58E-04,1.16E-03
5.99E-02,1.75E-04,8.78E-04
6.18E-02,1.38E-04,6.65E-04
6.38E-02,1.45E-04,5.24E-04
6.38E-02,1.46E-04,5.23E-04
6.48E-02,1.61E-04,4.75E-04
6.59E-02,1.82E-04,4.37E-04
6.71E-02,2.04E-04,4.07E-04
6.82E-02,2.24E-04,3.82E-04
6.94E-02,2.39E-04,3.58E-04
7.07E-02,2.47E-04,3.33E-04
7.20E-02,2.46E-04,3.04E-04
7.33E-02,2.34E-04,2.72E-04
7.47E-02,2.11E-04,2.35E-04
7.62E-02,1.81E-04,1.96E-04
7.77E-02,1.45E-04,1.56E-04
7.92E-02,1.08E-04,1.18E-04
8.09E-02,7.27E-05,8.63E-05
8.26E-02,4.44E-05,6.25E-05
8.44E-02,2.56E-05,4.85E-05
8.62E-02,1.75E-05,4.42E-05
8.82E-02,1.95E-05,4.80E-05
9.02E-02,2.85E-05,5.62E-05
9.23E-02,4.03E-05,6.45E-05
9.45E-02,5.01E-05,6.85E-05
9.69E-02,5.39E-05,6.52E-05
9.93E-02,5.00E-05,5.42E-05
1.02E-01,3.94E-05,3.79E-05
1.05E-01,2.56E-05,2.09E-05
1.07E-01,1.32E-05,8.44E-06
1.10E-01,5.79E-06,3.86E-06
1.14E-01,3.97E-06,7.09E-06
1.17E-01,5.50E-06,1.45E-05
1.21E-01,6.80E-06,2.11E-05
1.25E-01,5.86E-06,2.33E-05
1.29E-01,3.86E-06,2.13E-05
1.33E-01,3.76E-06,1.79E-05
