x,y_uu,y_dd
1.12E-02,9.69E-01,9.64E-01
1.13E-02,9.68E-01,9.63E-01
1.15E-02,9.67E-01,9.61E-01
1.16E-02,9.66E-01,9.60E-01
1.17E-02,9.64E-01,9.59E-01
1.19E-02,9.63E-01,9.57E-01
1.20E-02,9.62E-01,9.55E-01
1.22E-02,9.60E-01,9.54E-01
1.23E-02,9.59E-01,9.52E-01
1.25E-02,9.57E-01,9.50E-01
1.26E-02,9.55E-01,9.48E-01
1.28E-02,9.53E-01,9.45E-01
1.29E-02,9.51E-01,9.43E-01
1.31E-02,9.49E-01,9.40E-01
1.33E-02,9.46E-01,9.37E-01
1.35E-02,9.43E-01,9.34E-01
1.36E-02,9.40E-01,9.30E-01
1.38E-02,9.36E-01,9.26E-01
1.40E-02,9.33E-01,9.22E-01
1.42E-02,9.28E-01,9.17E-01
1.44E-02,9.24E-01,9.12E-01
1.46E-02,9.18E-01,9.07E-01
1.49E-02,9.13E-01,9.01E-01
1.51E-02,9.07E-01,8.96E-01
1.53E-02,9.00E-01,8.91E-01
1.55E-02,8.94E-01,8.86E-01
1.58E-02,8.88E-01,8.83E-01
1.60E-02,8.84E-01,8.83E-01
1.63E-02,8.84E-01,8.87E-01
1.66E-02,8.78E-01,8.87E-01
1.68E-02,6.22E-01,6.52E-01
1.71E-02,2.46E-01,2.91E-01
1.74E-02,1.31E-01,1.71E-01
1.74E-02,1.22E-01,1.62E-01
1.77E-02,8.71E-02,1.20E-01
1.77E-02,8.37E-02,1.16E-01
1.80E-02,6.81E-02,9.58E-02
1.84E-02,5.91E-02,8.22E-02
1.87E-02,5.48E-02,7.43E-02
1.91E-02,5.29E-02,6.94E-02
1.94E-02,5.22E-02,6.62E-02
1.98E-02,5.20E-02,6.39E-02
2.02E-02,5.19E-02,6.20E-02
2.06E-02,5.18E-02,6.04E-02
2.11E-02,5.14E-02,5.87E-02
2.15E-02,5.07E-02,5.69E-02
2.20E-02,4.96E-02,5.49E-02
2.25E-02,4.82E-02,5.26E-02
2.30E-02,4.64E-02,5.01E-02
2.35E-02,4.42E-02,4.73E-02
2.41E-02,4.17E-02,4.43E-02
2.47E-02,3.89E-02,4.10E-02
2.53E-02,3.57E-02,3.75E-02
2.60E-02,3.24E-02,3.39E-02
2.67E-02,2.89E-02,3.02E-02
2.74E-02,2.53E-02,2.64E-02
2.82E-02,2.17E-02,2.27E-02
2.90E-02,1.81E-02,1.90E-02
2.99E-02,1.47E-02,1.55E-02
3.08E-02,1.15E-02,1.23E-02
3.14E-02,9.61E-03,1.04E-02
3.18E-02,8.59E-03,9.41E-03
3.19E-02,8.21E-03,9.02E-03
3.24E-02,6.91E-03,7.72E-03
3.28E-02,6.08E-03,6.90E-03
3.30E-02,5.71E-03,6.53E-03
3.35E-02,4.64E-03,5.46E-03
3.41E-02,3.68E-03,4.51E-03
3.47E-02,2.86E-03,3.68E-03
3.53E-02,2.15E-03,2.98E-03
3.60E-02,1.58E-03,2.41E-03
3.67E-02,1.13E-03,1.95E-03
3.74E-02,7.97E-04,1.61E-03
3.81E-02,5.75E-04,1.38E-03
3.88E-02,4.52E-04,1.24E-03
3.96E-02,4.15E-04,1.18E-03
4.04E-02,4.50E-04,1.19E-03
4.13E-02,5.39E-04,1.25E-03
4.22E-02,6.63E-04,1.33E-03
4.31E-02,8.04E-04,1.44E-03
4.41E-02,9.43E-04,1.53E-03
4.51E-02,1.06E-03,1.61E-03
4.62E-02,1.14E-03,1.64E-03
4.73E-02,1.18E-03,1.63E-03
4.84E-02,1.16E-03,1.57E-03
4.97E-02,1.09E-03,1.45E-03
5.09E-02,9.68E-04,1.28E-03
5.23E-02,8.05E-04,1.08E-03
5.37E-02,6.20E-04,8.52E-04
5.53E-02,4.32E-04,6.29E-04
5.69E-02,2.64E-04,4.30E-04
5.86E-02,1.35E-04,2.73E-04
6.04E-02,5.86E-05,1.71E-04
6.23E-02,3.74E-05,1.28E-04
6.43E-02,6.25E-05,1.34E-04
6.50E-02,7.84E-05,1.43E-04
6.61E-02,1.05E-04,1.61E-04
6.65E-02,1.14E-04,1.68E-04
6.73E-02,1.32E-04,1.81E-04
6.84E-02,1.57E-04,1.98E-04
6.88E-02,1.64E-04,2.02E-04
6.96E-02,1.75E-04,2.10E-04
7.09E-02,1.85E-04,2.14E-04
7.22E-02,1.85E-04,2.08E-04
7.36E-02,1.74E-04,1.93E-04
7.50E-02,1.53E-04,1.69E-04
7.64E-02,1.25E-04,1.38E-04
7.79E-02,9.33E-05,1.04E-04
7.95E-02,6.15E-05,7.07E-05
8.11E-02,3.43E-05,4.30E-05
8.28E-02,1.54E-05,2.40E-05
8.46E-02,7.05E-06,1.59E-05
8.65E-02,9.55E-06,1.87E-05
8.84E-02,2.09E-05,3.03E-05
9.05E-02,3.70E-05,4.64E-05
9.26E-02,5.26E-05,6.17E-05
9.48E-02,6.27E-05,7.10E-05
9.72E-02,6.37E-05,7.09E-05
9.96E-02,5.52E-05,6.10E-05
1.02E-01,3.99E-05,4.42E-05
1.05E-01,2.32E-05,2.59E-05
1.08E-01,1.06E-05,1.19E-05
1.11E-01,5.51E-06,5.77E-06
1.14E-01,7.28E-06,6.85E-06
1.17E-01,1.17E-05,1.10E-05
1.21E-01,1.39E-05,1.34E-05
1.25E-01,1.18E-05,1.19E-05
1.29E-01,8.02E-06,8.74E-06
1.33E-01,6.71E-06,7.85E-06
1.38E-01,8.90E-06,1.00E-05
1.43E-01,1.09E-05,1.15E-05
