x,y_uu,y_dd
1.27E-02,9.48E-01,9.48E-01
1.29E-02,9.46E-01,9.46E-01
1.30E-02,9.44E-01,9.44E-01
1.31E-02,9.41E-01,9.41E-01
1.33E-02,9.39E-01,9.38E-01
1.35E-02,9.36E-01,9.36E-01
1.36E-02,9.33E-01,9.32E-01
1.38E-02,9.29E-01,9.29E-01
1.40E-02,9.26E-01,9.26E-01
1.41E-02,9.22E-01,9.22E-01
1.43E-02,9.18E-01,9.18E-01
1.45E-02,9.14E-01,9.14E-01
1.47E-02,9.10E-01,9.10E-01
1.49E-02,9.07E-01,9.07E-01
1.51E-02,8.91E-01,8.91E-01
1.53E-02,8.81E-01,8.81E-01
1.55E-02,8.78E-01,8.78E-01
1.57E-02,8.05E-01,8.05E-01
1.59E-02,7.82E-01,7.82E-01
1.61E-02,7.77E-01,7.78E-01
1.64E-02,6.33E-01,6.33E-01
1.66E-02,6.11E-01,6.12E-01
1.69E-02,4.60E-01,4.60E-01
1.71E-02,4.15E-01,4.15E-01
1.74E-02,2.98E-01,2.99E-01
1.76E-02,2.39E-01,2.40E-01
1.79E-02,1.67E-01,1.68E-01
1.82E-02,1.18E-01,1.19E-01
1.85E-02,9.03E-02,9.11E-02
1.88E-02,7.47E-02,7.53E-02
1.91E-02,6.85E-02,6.91E-02
1.94E-02,6.52E-02,6.57E-02
1.98E-02,6.32E-02,6.36E-02
2.01E-02,6.18E-02,6.22E-02
2.05E-02,6.07E-02,6.10E-02
2.09E-02,5.96E-02,5.99E-02
2.13E-02,5.84E-02,5.87E-02
2.15E-02,5.78E-02,5.80E-02
2.18E-02,5.66E-02,5.68E-02
2.22E-02,5.52E-02,5.53E-02
2.25E-02,5.36E-02,5.38E-02
2.29E-02,5.19E-02,5.20E-02
2.33E-02,4.99E-02,5.01E-02
2.37E-02,4.78E-02,4.79E-02
2.42E-02,4.56E-02,4.57E-02
2.46E-02,4.31E-02,4.32E-02
2.51E-02,4.06E-02,4.06E-02
2.55E-02,3.79E-02,3.79E-02
2.60E-02,3.51E-02,3.52E-02
2.66E-02,3.22E-02,3.23E-02
2.71E-02,2.93E-02,2.94E-02
2.77E-02,2.64E-02,2.64E-02
2.82E-02,2.35E-02,2.35E-02
2.88E-02,2.06E-02,2.07E-02
2.95E-02,1.79E-02,1.79E-02
3.01E-02,1.52E-02,1.52E-02
3.08E-02,1.27E-02,1.27E-02
3.16E-02,1.04E-02,1.04E-02
3.23E-02,8.27E-03,8.30E-03
3.31E-02,6.41E-03,6.44E-03
3.36E-02,5.37E-03,5.40E-03
3.40E-02,4.82E-03,4.85E-03
3.42E-02,4.44E-03,4.47E-03
3.48E-02,3.62E-03,3.65E-03
3.48E-02,3.51E-03,3.54E-03
3.53E-02,2.92E-03,2.95E-03
3.58E-02,2.49E-03,2.52E-03
3.59E-02,2.33E-03,2.36E-03
3.66E-02,1.85E-03,1.89E-03
3.72E-02,1.49E-03,1.52E-03
3.79E-02,1.22E-03,1.26E-03
3.86E-02,1.05E-03,1.09E-03
3.93E-02,9.67E-04,9.99E-04
4.01E-02,9.51E-04,9.82E-04
4.08E-02,9.92E-04,1.02E-03
4.16E-02,1.07E-03,1.10E-03
4.25E-02,1.18E-03,1.21E-03
4.34E-02,1.30E-03,1.33E-03
4.43E-02,1.41E-03,1.44E-03
4.52E-02,1.50E-03,1.52E-03
4.62E-02,1.55E-03,1.58E-03
4.73E-02,1.56E-03,1.58E-03
4.83E-02,1.52E-03,1.54E-03
4.95E-02,1.43E-03,1.45E-03
5.07E-02,1.29E-03,1.31E-03
5.19E-02,1.12E-03,1.13E-03
5.32E-02,9.11E-04,9.22E-04
5.46E-02,6.97E-04,7.06E-04
5.61E-02,4.93E-04,5.01E-04
5.76E-02,3.18E-04,3.25E-04
5.92E-02,1.88E-04,1.93E-04
6.10E-02,1.10E-04,1.15E-04
6.28E-02,8.65E-05,9.01E-05
6.47E-02,1.06E-04,1.09E-04
6.58E-02,1.28E-04,1.30E-04
6.68E-02,1.49E-04,1.51E-04
6.69E-02,1.51E-04,1.54E-04
6.80E-02,1.75E-04,1.76E-04
6.89E-02,1.91E-04,1.93E-04
6.91E-02,1.94E-04,1.96E-04
7.03E-02,2.06E-04,2.08E-04
7.15E-02,2.10E-04,2.12E-04
7.28E-02,2.04E-04,2.05E-04
7.41E-02,1.88E-04,1.89E-04
7.55E-02,1.63E-04,1.64E-04
7.69E-02,1.32E-04,1.33E-04
7.83E-02,9.81E-05,9.88E-05
7.99E-02,6.57E-05,6.64E-05
8.14E-02,3.89E-05,3.94E-05
8.31E-02,2.08E-05,2.14E-05
8.48E-02,1.36E-05,1.41E-05
8.66E-02,1.73E-05,1.78E-05
8.84E-02,2.98E-05,3.03E-05
9.04E-02,4.71E-05,4.75E-05
9.24E-02,6.39E-05,6.42E-05
9.45E-02,7.50E-05,7.53E-05
9.68E-02,7.67E-05,7.69E-05
9.91E-02,6.79E-05,6.80E-05
1.02E-01,5.10E-05,5.10E-05
1.04E-01,3.09E-05,3.09E-05
1.07E-01,1.39E-05,1.39E-05
1.10E-01,4.80E-06,4.80E-06
1.13E-01,4.62E-06,4.64E-06
1.16E-01,1.01E-05,1.02E-05
1.19E-01,1.57E-05,1.57E-05
1.23E-01,1.65E-05,1.66E-05
1.27E-01,1.26E-05,1.27E-05
1.31E-01,8.03E-06,8.12E-06
1.35E-01,7.14E-06,7.20E-06
1.39E-01,9.63E-06,9.66E-06
1.44E-01,1.07E-05,1.07E-05
1.50E-01,7.30E-06,7.28E-06
