# Datafile created by QuickNXS 0.9.39
# Date: 2014-04-14 15:58:07
# Type: Specular
# Input file indices: 16252+16253+16254+16255
# Extracted states: -
# 
# [Direct Beam Runs]
# DB_ID  P0  PN  x_pos   x_width  y_pos   y_width  bg_pos  bg_width  dpix  tth           number  File                                            
# 1      0   0   157.7   6        132.5   59       84.8    125       158   2.86102e-06   16213   /SNS/REF_M/IPTS-10790/data/REF_M_16213_histo.nxs
# 2      0   0   157.6   6        132.5   59       84.8    125       158   2.86102e-06   16214   /SNS/REF_M/IPTS-10790/data/REF_M_16214_histo.nxs
# 
# [Data Runs]
# scale     P0    PN   x_pos   x_width  y_pos   y_width  bg_pos  bg_width  extract_fan  dpix  tth        number  DB_ID  File                                            
# 6.0256    86    27   153.1   7        133.5   65       78.6    112.5     False        158   0.695226   16252   1      /SNS/REF_M/IPTS-10790/data/REF_M_16252_histo.nxs
# 5.30884   113   12   144.3   7        133.5   65       78.6    112.5     False        158   0.695226   16253   2      /SNS/REF_M/IPTS-10790/data/REF_M_16253_histo.nxs
# 3.75837   113   5    154.5   8        133.5   65       78.6    112.5     False        158   1.37271    16254   2      /SNS/REF_M/IPTS-10790/data/REF_M_16254_histo.nxs
# 2.45471   113   2    153.6   8        133.5   65       78.6    112.5     False        158   2.72347    16255   2      /SNS/REF_M/IPTS-10790/data/REF_M_16255_histo.nxs
# 
# [Global Options]
# name           value
# sample_length  18   
# 
# [Data]
# Qz [Å⁻¹]            	R [a.u.]            	dR [a.u.]           	dQz [Å⁻¹]           	αi [rad]            
4.005418e-02      	1.112473e-03      	5.038779e-05      	7.960083e-04      	1.245943e-02      
4.083193e-02      	1.022255e-03      	4.672145e-05      	8.126818e-04      	1.245943e-02      
4.164048e-02      	1.201686e-03      	4.973202e-05      	8.300881e-04      	1.245943e-02      
4.248171e-02      	1.333683e-03      	5.187929e-05      	8.482774e-04      	1.245943e-02      
4.335761e-02      	1.400273e-03      	5.299764e-05      	8.673043e-04      	1.245943e-02      
4.427041e-02      	1.550076e-03      	5.506904e-05      	8.872299e-04      	1.245943e-02      
4.522246e-02      	1.662180e-03      	5.679657e-05      	9.081198e-04      	1.245943e-02      
4.621636e-02      	1.606544e-03      	5.507104e-05      	9.300474e-04      	1.245943e-02      
4.725492e-02      	1.674557e-03      	5.530218e-05      	9.530924e-04      	1.245943e-02      
4.834124e-02      	1.580091e-03      	5.290646e-05      	9.773455e-04      	1.245943e-02      
4.947869e-02      	1.424125e-03      	4.979075e-05      	1.002905e-03      	1.245943e-02      
5.067094e-02      	1.338203e-03      	4.889470e-05      	1.029880e-03      	1.245943e-02      
5.192208e-02      	1.168439e-03      	4.615199e-05      	1.058394e-03      	1.245943e-02      
5.323656e-02      	9.717345e-04      	4.110691e-05      	1.088585e-03      	1.245943e-02      
5.461933e-02      	6.546725e-04      	3.464603e-05      	1.120607e-03      	1.245943e-02      
5.607585e-02      	4.595219e-04      	2.932300e-05      	1.154635e-03      	1.245943e-02      
5.761218e-02      	2.806000e-04      	2.277514e-05      	1.190866e-03      	1.245943e-02      
5.923505e-02      	1.828657e-04      	1.818962e-05      	1.229520e-03      	1.245943e-02      
6.095201e-02      	1.069123e-04      	1.481484e-05      	1.270855e-03      	1.245943e-02      
6.277147e-02      	8.570779e-05      	1.385717e-05      	1.315162e-03      	1.245943e-02      
6.470289e-02      	1.170382e-04      	1.710468e-05      	1.362773e-03      	1.245943e-02      
6.580551e-02      	1.489675e-04      	1.274954e-05      	1.317466e-03      	2.437053e-02      
6.675696e-02      	1.672198e-04      	2.148334e-05      	1.414078e-03      	1.245943e-02      
6.687552e-02      	1.526504e-04      	1.017587e-05      	1.340057e-03      	2.437053e-02      
6.798090e-02      	1.919591e-04      	1.049414e-05      	1.363451e-03      	2.437053e-02      
6.894571e-02      	1.933504e-04      	2.471791e-05      	1.469523e-03      	1.245943e-02      
6.912343e-02      	1.968256e-04      	1.046207e-05      	1.387695e-03      	2.437053e-02      
7.030503e-02      	2.149138e-04      	1.066536e-05      	1.412837e-03      	2.437053e-02      
7.152773e-02      	2.254491e-04      	1.070818e-05      	1.438928e-03      	2.437053e-02      
7.279371e-02      	1.921258e-04      	9.834168e-06      	1.466023e-03      	2.437053e-02      
7.410529e-02      	1.943914e-04      	9.969597e-06      	1.494183e-03      	2.437053e-02      
7.546503e-02      	1.592285e-04      	9.525093e-06      	1.523474e-03      	2.437053e-02      
7.687560e-02      	1.287381e-04      	8.434904e-06      	1.553964e-03      	2.437053e-02      
7.833989e-02      	9.730518e-05      	7.123327e-06      	1.585731e-03      	2.437053e-02      
7.986106e-02      	7.255162e-05      	5.972811e-06      	1.618859e-03      	2.437053e-02      
8.144246e-02      	3.862096e-05      	4.346240e-06      	1.653439e-03      	2.437053e-02      
8.308776e-02      	2.232245e-05      	3.349807e-06      	1.689568e-03      	2.437053e-02      
8.480091e-02      	1.114892e-05      	2.522596e-06      	1.727356e-03      	2.437053e-02      
8.658620e-02      	1.780081e-05      	2.973870e-06      	1.766923e-03      	2.437053e-02      
